h_W_per_m2K,x_mm,temperature_C
15.677310924369747,21.75510204081633,30.2915649556462
15.677310924369747,22.591836734693874,30.289356123436434
15.677310924369747,23.428571428571427,30.287166765956243
15.677310924369747,24.26530612244898,30.285000940393033
15.677310924369747,25.10204081632653,30.282890330833677
15.677310924369747,25.93877551020408,30.280842749649512
15.677310924369747,26.775510204081634,30.27886670511956
15.677310924369747,27.612244897959183,30.27696974092645
15.677310924369747,28.448979591836736,30.275195633318344
15.677310924369747,29.285714285714285,30.273540743298728
15.677310924369747,30.122448979591837,30.271969871807283
15.677310924369747,30.95918367346939,30.270478732571625
15.677310924369747,31.795918367346935,30.269061876077636
15.677310924369747,32.63265306122449,30.267714058610256
15.677310924369747,33.46938775510204,30.2664120783913
15.677310924369747,34.30612244897959,30.265158006022766
15.677310924369747,35.14285714285714,30.263966678159516
15.677310924369747,35.97959183673469,30.26283939250619
15.677310924369747,36.816326530612244,30.26177844520109
15.677310924369747,37.6530612244898,30.260786675545084
15.677310924369747,38.48979591836735,30.259867143835837
15.677310924369747,39.3265306122449,30.259022865095062
15.677310924369747,40.16326530612245,30.258256481517243
15.677310924369747,41.0,30.257569840602525
16.423529411764704,0.0,30.341242675174165
16.423529411764704,0.8367346938775511,30.336756943575015
16.423529411764704,1.6734693877551021,30.332349005127096
16.423529411764704,2.510204081632653,30.328015564313752
16.423529411764704,3.3469387755102042,30.32375638211073
16.423529411764704,4.183673469387755,30.3195728084292
16.423529411764704,5.020408163265306,30.315466599700223
16.423529411764704,5.857142857142857,30.311439587378192
16.423529411764704,6.6938775510204085,30.307493588157634
16.423529411764704,7.530612244897959,30.3036306506759
16.423529411764704,8.36734693877551,30.299848846980723
16.423529411764704,9.204081632653061,30.29615020831884
16.423529411764704,10.040816326530612,30.292544489358406
16.423529411764704,10.877551020408164,30.289036179285926
16.423529411764704,11.714285714285714,30.285629699855185
16.423529411764704,12.551020408163264,30.282328503967417
16.423529411764704,13.387755102040817,30.279162040645225
16.423529411764704,14.224489795918368,30.27613366932751
16.423529411764704,15.061224489795919,30.27320738158378
16.423529411764704,15.897959183673468,30.270377515967194
16.423529411764704,16.73469387755102,30.26763729344949
16.423529411764704,17.57142857142857,30.264979591264993
16.423529411764704,18.408163265306122,30.26239767736002
16.423529411764704,19.244897959183675,30.25988492666342
16.423529411764704,20.081632653061224,30.257434887126823
16.423529411764704,20.918367346938776,30.255042002315072
16.423529411764704,21.75510204081633,30.252701762922467
16.423529411764704,22.591836734693874,30.250411382852374
16.423529411764704,23.428571428571427,30.248143678860576
16.423529411764704,24.26530612244898,30.24590265677848
16.423529411764704,25.10204081632653,30.243719555224082
16.423529411764704,25.93877551020408,30.24160209002015
16.423529411764704,26.775510204081634,30.23955865362984
16.423529411764704,27.612244897959183,30.237596679713707
16.423529411764704,28.448979591836736,30.235759360066748
16.423529411764704,29.285714285714285,30.23404310448738
16.423529411764704,30.122448979591837,30.23241318804041
16.423529411764704,30.95918367346939,30.230865381849682
16.423529411764704,31.795918367346935,30.22939431466914
16.423529411764704,32.63265306122449,30.22799481166726
16.423529411764704,33.46938775510204,30.2266439853739
16.423529411764704,34.30612244897959,30.225343877546795
16.423529411764704,35.14285714285714,30.22410912452166
16.423529411764704,35.97959183673469,30.222941005615557
16.423529411764704,36.816326530612244,30.221841786806777
16.423529411764704,37.6530612244898,30.220814264170915
16.423529411764704,38.48979591836735,30.21986145922228
16.423529411764704,39.3265306122449,30.21898634526459
16.423529411764704,40.16326530612245,30.218191526975115
16.423529411764704,41.0,30.217478825908334
17.169747899159663,0.0,30.30113576426732
17.169747899159663,0.8367346938775511,30.29647459800393
17.169747899159663,1.6734693877551021,30.2918948587324
17.169747899159663,2.510204081632653,30.28739323971862
17.169747899159663,3.3469387755102042,30.282969475139094
17.169747899159663,4.183673469387755,30.2786248340923
17.169747899159663,5.020408163265306,30.274361053987885
17.169747899159663,5.857142857142857,30.270179884894958
17.169747899159663,6.6938775510204085,30.26608308202523
17.169747899159663,7.530612244897959,30.26207265041411
17.169747899159663,8.36734693877551,30.258146674967616
17.169747899159663,9.204081632653061,30.254307122488555
17.169747899159663,10.040816326530612,30.25056358044636
17.169747899159663,10.877551020408164,30.246920455400627
17.169747899159663,11.714285714285714,30.24338209708516
17.169747899159663,12.551020408163264,30.239951859662042
17.169747899159663,13.387755102040817,30.236658752851806
17.169747899159663,14.224489795918368,30.23350606001905
17.169747899159663,15.061224489795919,30.230458298966266
17.169747899159663,15.897959183673468,30.227509873914496
17.169747899159663,16.73469387755102,30.224654086178024
17.169747899159663,17.57142857142857,30.221883910444667
17.169747899159663,18.408163265306122,30.219192701565103
17.169747899159663,19.244897959183675,30.216573918717323
17.169747899159663,20.081632653061224,30.214021193447664
17.169747899159663,20.918367346938776,30.21152903874669
17.169747899159663,21.75510204081633,30.209092998948876
17.169747899159663,22.591836734693874,30.206710320680546
17.169747899159663,23.428571428571427,30.204354215350765
17.169747899159663,24.26530612244898,30.202028614809734
17.169747899159663,25.10204081632653,30.199764281416524
17.169747899159663,25.93877551020408,30.19756879292665
17.169747899159663,26.775510204081634,30.195450405207527
17.169747899159663,27.612244897959183,30.19341642924704
17.169747899159663,28.448979591836736,30.19150938830085
17.169747899159663,29.285714285714285,30.189725736990205
17.169747899159663,30.122448979591837,30.188031262022232
17.169747899159663,30.95918367346939,30.18642179594674
17.169747899159663,31.795918367346935,30.184892032774126
17.169747899159663,32.63265306122449,30.18343687237694
17.169747899159663,33.46938775510204,30.182033766436458
17.169747899159663,34.30612244897959,30.180684719641114
